Utterance,Speaker,Emotion,Strategy
but the silences are instructive.,Therapist,neutral,Approval
How long before you intervene? What's the record?,Client,neutral,undefined
What's the longest silence by a patient?,Client,neutral,undefined
20-25 minutes.,Therapist,neutral,Open question
Yeah?,Client,neutral,undefined
Who blinked first?,Client,neutral,undefined
I did.,Therapist,neutral,Open question
"Finally I said, what are you thinking about?",Therapist,neutral,Restatement
"And she said, I've just been sitting here",Therapist,neutral,Approval
wondering when you were gonna say something.,Therapist,neutral,Interpretation
So what are you thinking about?,Therapist,neutral,Restatement
So last week as you were leaving,Therapist,neutral,Open question
"you said that you'd gotten the results of your test,",Therapist,neutral,Interpretation
but you hadn't looked at them yet.,Therapist,neutral,Restatement
I'm not ready to talk about that yet.,Client,neutral,undefined
How come?,Therapist,neutral,Interpretation
Did you look at the results?,Therapist,neutral,Interpretation
Izzy...,Client,neutral,undefined
I'm sitting here thinking about Izzy.,Client,neutral,undefined
You've heard from her?,Therapist,neutral,Open question
Only when she wants something.,Client,neutral,undefined
"Last week I got an email, a text,",Client,neutral,undefined
three messages on my voicemail.,Client,neutral,undefined
It's more communication than I've had from her in months.,Client,neutral,undefined
She wanted to download some music and needed my password.,Client,neutral,undefined
"Well, maybe that was her way of breaking the ice.",Therapist,neutral,Interpretation
"Oh, by whining and begging,",Client,neutral,undefined
issuing demands?,Client,neutral,undefined
You sound like you're kind of angry with her.,Therapist,neutral,Interpretation
Maybe it's time you to see her.,Therapist,neutral,Open question
I did.,Client,neutral,undefined
When?,Therapist,neutral,Open question
This week.,Client,neutral,undefined
"I had her scarf, remember?",Client,neutral,undefined
"Oh yes, the one that you took from Tricia's.",Therapist,neutral,Approval
And some other things. I had a t-shirt that she loved,Client,neutral,undefined
and some paperbacks. I stuffed them all in a backpack,Client,neutral,undefined
and I went down to her school and ambushed her.,Client,neutral,undefined
Ambushed her?,Therapist,neutral,Interpretation
"Well, if I'd told her I was coming,",Client,neutral,undefined
she never would have stayed put.,Client,neutral,undefined
"Anyway, she was out front,",Client,joy,undefined
chatting with some friends on the steps.,Client,joy,undefined
"She looked very grown-up,",Client,joy,undefined
"chic,",Client,joy,undefined
full of life.,Client,joy,undefined
I just stood there and watched her for a few minutes.,Client,joy,undefined
And what was that like?,Therapist,neutral,Interpretation
It was sort of surreal.,Client,joy,undefined
It was like looking into the future.,Client,joy,undefined
Who is this young woman?,Client,joy,undefined
"I mean, where'd she come from?",Client,joy,undefined
I don't know. She...,Client,joy,undefined
"She looked sort of confused when she saw me, surprised.",Client,joy,undefined
Her friends were gawking.,Client,joy,undefined
And then this confident young woman,Client,joy,undefined
just evaporated in front of my eyes,Client,joy,undefined
"and she went back to being this sullen, obnoxious little...",Client,joy,undefined
"Well, they're grown-ups around their friends.",Therapist,neutral,Interpretation
But they're... they're still children with us.,Therapist,neutral,Open question
Did you speak to her?,Therapist,neutral,Open question
She always licks her lips,Client,joy,undefined
"when she gets nervous, you know? It's compulsive.",Client,joy,undefined
She did it all the time when she was a child.,Client,joy,undefined
She used to have this red ring of irritation around her mouth.,Client,joy,undefined
She started doing that when she was talking to me.,Client,joy,undefined
"I said, honey, don't do that,",Client,joy,undefined
and I offered her some chapstick.,Client,joy,undefined
You would have thought that I tried,Client,joy,undefined
to scald her with a hot poker.,Client,joy,undefined
"I mean, she just fled.",Client,joy,undefined
And did that hurt you?,Therapist,neutral,Open question
Oh no.,Client,joy,undefined
I'm used to stuff like that. That didn't hurt me.,Client,joy,undefined
What she did after hurt me.,Client,joy,undefined
What did she do?,Therapist,neutral,Restatement
She texted me.,Client,joy,undefined
Thanks for bringing the scarf.,Client,joy,undefined
You should call Trish. She's really sick now.,Client,depression,undefined
She looks like a skeleton.,Client,depression,undefined
It's always about Trish.,Client,depression,undefined
"You know, I haven't seen my daughter for months...",Client,depression,undefined
"I mean, not really, not in any meaningful way.",Client,depression,undefined
She's been spending every waking minute with my sister.,Client,depression,undefined
"I finally reach out to her. I see her once,",Client,depression,undefined
and what does she do? She texts me about Trish.,Client,depression,undefined
How did you feel when you heard,Therapist,neutral,Open question
that Patricia looked like a skeleton?,Therapist,neutral,Open question
"Well, how do you think I felt?",Client,depression,undefined
"I don't know. I'm finding it kind of hard to read your reaction,",Therapist,neutral,Interpretation
but I imagine that it must have been hard to hear.,Therapist,neutral,Open question
It was very hard. I couldn't even take it in.,Client,depression,undefined
"I just texted Izzy back and said,",Client,depression,undefined
"you know, great seeing you, darling.",Client,depression,undefined
And I'll call Trish after the show.,Client,depression,undefined
And did you?,Therapist,neutral,Open question
Why? You agree with Izzy?,Client,depression,undefined
You think I should call my sister?,Client,depression,undefined
"Yes, I do.",Therapist,neutral,Guiding the Pace and Depth of the Conversation
I think that you should call your sister.,Therapist,neutral,Guiding the Pace and Depth of the Conversation
"Well, I went out and got laid instead.",Client,depression,undefined
"I know, I know you're judging me,",Client,depression,undefined
but I don't care.,Client,depression,undefined
I haven't been with anyone since Russell.,Client,depression,undefined
25 and very handsome.,Client,depression,undefined
No body fat... none.,Client,depression,undefined
"Actually I was a little worried. I thought,",Client,depression,undefined
I wonder if he gets cold in the winter.,Client,depression,undefined
"Part of me wanted to fuck him,",Client,joy,undefined
part of me wanted to take him home and wrap him in a blanket,Client,joy,undefined
and give him a great big meal.,Client,joy,undefined
It was that maternal-erotic thing,Client,joy,undefined
you were talking about.,Client,joy,undefined
So this man that you...,Therapist,neutral,Open question
"Oh, he's in the cast... Eddie, Eduardo.",Client,joy,undefined
"Well, you know the script, right?",Client,joy,undefined
He is one of Maxine's houseboys.,Client,joy,undefined
After the preview I went out for a quick drink with the cast.,Client,joy,undefined
"And I was gonna call Tricia afterwards, when I got home.",Client,joy,undefined
I knew she'd be up. She sleeps during the day,Client,joy,undefined
"and then she's up at night... you know, the morphine.",Client,joy,undefined
"You haven't done that before, have you... gone out with the cast?",Therapist,neutral,Open question
"Well, they've been bugging me.",Client,joy,undefined
I've just been avoiding it.,Client,joy,undefined
( Sighs ),Client,joy,undefined
He kept buying me martinis.,Client,joy,undefined
I'm a lightweight. I only need one drink.,Client,joy,undefined
But halfway through the third I asked him to show me,Client,joy,undefined
"where he lived, just like that.",Client,joy,undefined
Wasn't that bold of me?,Client,joy,undefined
Do you think it was the alcohol that made you bold?,Therapist,neutral,Open question
Didn't hurt.,Client,joy,undefined
Two years.,Client,joy,undefined
"I kept telling myself, don't worry, Frances,",Client,joy,undefined
it's like riding a bicycle.,Client,joy,undefined
